Z_PK,Z_ENT,Z_OPT,ZCAMPAIGN_WEBSITE,ZOFFICIAL_WEBSITE,ZCOMMITTEES,ZEMAIL,ZELECTION_HISTORY,ZMAILING_ADDRESS,ZSTAFF,ZPHYSICAL_ADDRESS,ZROOM,ZPHONE,ZTITLE,ZFAX,ZDISTRICT_NUMBER,GOVERNANCE,ZCOMMITTEES,ZOFFICE_3,ZLINK,ZPARTY,GOVERNANCE_LEVEL,ZCONTACT_FORM,ZOFFICE_5,ZOFFICE_4,ZTWITTER,,ZDISTRICT_MAP,ZIMAGE,ZIMAGE_FILENAME,ZFIRSTNAME,ZLASTNAME
203,,,none listed,http://www.co.yavapai.az.us/Sheriff.aspx,none listed,web.sheriff@co.yavapai.az.us,,"255 E. Gurley Street 
Prescott, Arizona  86301 ",,"Yavapai County Administration Building
1015 Fair Street
Prescott, AZ 86305-1852",,(928) 771-3260,County Sheriff,none listed,,Yavapai County,none listed,,,R,Yavapai County Sheriff,,,,none listed,,,Y,steve_waugh.jpg,Steve,Waugh
204,,,none listed,http://www.co.yavapai.az.us/ContactUs.aspx?id=15574,none listed,web.treasurer@co.yavapai.az.us,,"Yavapai County Administration Building
1015 Fair Street
Prescott, AZ 86305-1852",,"Yavapai County Administration Building
1015 Fair Street
Prescott, AZ 86305-1852",,(928) 771-3233,County Treasurer,none listed,,Yavapai County,none listed,"Yavapai County Cottonwood Annex
10 South 6th Street
Cottonwood, AZ 86326
",,R,Yavapai County Treasurer,,,,none listed,,,Y,Ross_Jacobs.jpg,Ross,Jacobs
205,,,none listed,http://www.co.yavapai.az.us/recorder.aspx,none listed,web.recorder@co.yavapai.az.us,,"Yavapai County Administration Building
1015 Fair Street
Prescott, AZ 86305-1852",,"Yavapai County Administration Building
1015 Fair Street
Prescott, AZ 86305-1852",,(928) 771-3244,County Recorder,(928) 771-3258,,Yavapai County,none listed,,,R,Yavapai County Recorder,,,,none listed,,,Y,Ana_Wayman-TrujilloA.jpg,Ana,Wayman-Trujillo
206,,,none listed,http://www.co.yavapai.az.us/Assessor.aspx,none listed,web.assessor@co.yavapai.az.us,,"Yavapai County Administration Building
1015 Fair Street
Prescott, AZ 86305-1852",,"410 Maiden Lane
Yuma AZ 85364-2311 ",,(928) 771-3220,County Assessor,(928) 771-3181,,Yavapai County,none listed,"Yavapai County Cottonwood Annex
10 South 6th Street
Cottonwood, AZ 86326
",,R,Yavapai County Assessor,,,,none listed,,,Y,Pamela_Pearsall.jpg,Pamela J.,Pearsall
207,,,none listed,http://www.co.yuma.az.us/index.aspx?page=98,none listed,assr-info@yumacountyaz.gov,,"410 Maiden Lane 
Yuma AZ 85364-2311",,"250 W 2nd St.
Suite G
Yuma AZ 85364",,(928) 373-6040,County Assessor,(928) 373-6041,,Yuma County,none listed,,,D,Yuma County Assessor,,,,none listed,,,Y,Joseph L. Wehrle.jpg,Joseph L.,Wehrle
208,,,none listed,http://www.co.yuma.az.us/index.aspx?page=55,none listed,none listed,,"250 W 2nd St.
Suite G
Yuma AZ 85364",,"141 S. 3rd Avenue
Yuma, AZ 85364 ",,(928) 817-4300,County Attorney,none listed,,Yuma County,none listed,,,D,Yuma County Attorney,,,,none listed,,,Y,jon_Smith.jpeg,Jon R.,Smith
209,,,none listed,http://www.yumacountysheriff.org/,none listed,none listed,,"141 S. 3rd Avenue
Yuma, AZ 85364 ",,"198 S. Main Street,
Yuma, AZ 85364 ",,(928) 783-4427,County Sheriff,(928) 539-7837,,Yuma County,none listed,,,D,Yuma County Sheriff,,,,none listed,,,Y,Ralph_ogden.jpeg,Ralph E.,Ogden
210,,,none listed,http://www.co.yuma.az.us/index.aspx?page=50,none listed,none listed,,"198 S. Main Street,
Yuma, AZ 85364 ",,"198 S. Main Street,
Yuma, AZ 85364 ",,(928) 373-1010,District 1 Supervisor,(928) 373-1120,,Yuma County,none listed,,,D,Yuma County Supervisor,,,,none listed,,,Y,Lenore_stuart.jpeg,Lenore,Stuart
211,,,none listed,http://www.co.yuma.az.us/index.aspx?page=51,none listed,russell.mccloud@co.yuma.az.us,,"198 S. Main Street,
Yuma, AZ 85364 ",,"198 S. Main Street,
Yuma, AZ 85364 ",,(928) 373-1010,"District 2 Supervisor, Vice Chairman",(928) 373-1120,,Yuma County,none listed,,,R,Yuma County Supervisor,,,,none listed,,,Y,russell_McCloud.jpeg,Russell,McCloud
212,,,none listed,http://www.co.yuma.az.us/index.aspx?page=52,none listed,casey.prochaska@yumacountyaz.gov,,"198 S. Main Street,
Yuma, AZ 85364 ",,"198 S. Main Street,
Yuma, AZ 85364 ",,(928) 373-1010,District 3 Supervisor,(928) 373-1120,,Yuma County,none listed,,,R,Yuma County Supervisor,,,,none listed,,,Y,katheryn_Prochaska.jpeg,Katheryn,Prochaska
213,,,none listed,http://www.co.yuma.az.us/index.aspx?page=53,none listed,mreyes@cityofsanluis.org,,"198 S. Main Street,
Yuma, AZ 85364 ",,"198 S. Main Street,
Yuma, AZ 85364 ",,(928) 373-1010,District 4 Supervisor,(928) 373-1120,,Yuma County,none listed,,,D,Yuma County Supervisor,,,,none listed,,,Y,marco_Reyes.jpeg,Marco,Reyes
214,,,none listed,http://www.co.yuma.az.us/index.aspx?page=54,none listed,greg.ferguson@yumacountyaz.gov,,"198 S. Main Street,
Yuma, AZ 85364 ",,"410 Maiden Lane, Suite C
Yuma, Arizona 85364 ",,(928) 373-1010,"District 5 Supervisor, Vice Chairman",(928) 373-1120,,Yuma County,none listed,,,R,Yuma County Supervisor,,,,none listed,,,Y,gregory_ferguson.jpeg,Gregory,Ferguson
215,,,none listed,http://www.co.yuma.az.us/index.aspx?page=81,none listed,treasinfo@yumacountyaz.gov,,"410 Maiden Lane, Suite C
Yuma, Arizona 85364 ",,"410 S. Maiden Lane, Suite B Yuma, AZ 85364-2311",,(928) 539-7781,Treasurer,(928) 539-7793,,Yuma County,none listed,,,R,Yuma County Treasurer,,,,none listed,,,n,david_egeberg.jpg,David,Egeberg
216,,,none listed,http://www.co.yuma.az.us/index.aspx?page=79,none listed,none listed,,"410 S. Maiden Lane, Suite B Yuma, AZ 85364-2311",,"30 N. Florence Street
Building D
Florence, AZ 85132",,(928) 373-6020,Recorder,(928) 373-6024,,Yuma County,none listed,,,R,Yuma County Recorder,,,,none listed,,,Y,,Robyn Stallworth,Pouquette
217,,,none listed,http://pinalcountyaz.gov/Departments/CountyAttorney/Pages/Home.aspx,none listed,PinalCountyAttorney@co.pinal.az.us,,"30 N. Florence Street
Building D
Florence, AZ 85132",,"971 Jason Lopez Circle
Building C
Florence, AZ 85132",,(520) 866-6271,Attorney,none listed,,Pinal County,none listed,,,D,Pinal County Attorney,,,,none listed,,,Y,Jim_Walsh.jpg,James P.,Walsh
218,,,none listed,http://sheriffpaul.com/,none listed,none listed,,"971 Jason Lopez Circle
Building C
Florence, AZ 85132",,"Pinal County
Board of Supervisors
31 N. Pinal Street
Building A
Florence, AZ 85132 ",,(800) 420-8689,Sheriff,none listed,,Pinal County,none listed,,,R,Pinal County Sheriff,http://pinalcountyaz.gov/Departments/Sheriff/Pages/EmailSubmission.aspx,,,none listed,,,Y,Paul Babeu.jpg,Paul,Babeu
219,,,none listed,http://pinalcountyaz.gov/Departments/BoardofSupervisors/Pages/District1.aspx,none listed,pete.rios@pinalcountyaz.gov,,"Pinal County
Board of Supervisors
ATTN: (Board Member)
P.O. Box 827
Florence, Arizona 85132 ",,"Pinal County
Board of Supervisors
31 N. Pinal Street
Building A
Florence, AZ 85132 ",,(520) 866-7830,District 1 Supervisor,(520) 866-7838,,Pinal County,none listed,,,D,Pinal County Board of Supervisors,,,,none listed,,,Y,Pete_rios.jpg,Pete,Rios
220,,,none listed,http://pinalcountyaz.gov/Departments/BoardofSupervisors/Pages/District2.aspx,none listed,Bryan.Martyn@pinalcountyaz.gov,,"Pinal County
Board of Supervisors
ATTN: (Board Member)
P.O. Box 827
Florence, Arizona 85132 ",,"Pinal County
Board of Supervisors
31 N. Pinal Street
Building A
Florence, AZ 85132 ",,(520) 866-6104,District 2 Supervisor,(520) 866-6107,,Pinal County,none listed,,,R,Pinal County Board of Supervisors,,,,none listed,,,Y,Bryan_Martyn.jpg,Bryan,Martyn
221,,,none listed,http://pinalcountyaz.gov/Departments/BoardofSupervisors/Pages/District3.aspx,none listed,David.Snider@pinalcountyaz.gov,,"Pinal County
Board of Supervisors
ATTN: (Board Member)
P.O. Box 827
Florence, Arizona 85132 ",,"
31 N Pinal Street
Building E
Florence, AZ 85132",,(520) 866-7401,District 3 Supervisor,(520) 836-3876,,Pinal County,none listed,,,D,Pinal County Board of Supervisors,,,,none listed,,,Y,David_Snider.jpg,David,Snider
222,,,none listed,http://pinalcountyaz.gov/Departments/Treasurer/Pages/Home.aspx,none listed,CustomerService@pinalcountyaz.gov,,"Pinal County
County Treasurer
31 N Pinal Street
Building E
Florence, AZ 85132",,"
31 N Pinal Street
Building E
Florence, AZ 85132",,(520) 509-3555,Treasurer,(520) 868-9007,,Pinal County,none listed,,,D,Pinal County Treasurer,,,,none listed,,,Y,dodie_Doolittle.jpg,Dolores J.,Doolittle
223,,,none listed,http://pinalcountyaz.gov/Departments/Recorder/Pages/Home.aspx,none listed,Recorder@pinalcountyaz.gov,,"Pinal County
County Recorder
31 N Pinal Street
Building E
Florence, AZ 85132",,"
31 N Pinal Street
Building E
Florence, AZ 85132
",,(520) 866-6830,Recorder,(520) 866-6831,,Pinal County,none listed,,,D,Pinal County Recorder,,,,none listed,,,Y,LauraDean-Lytle.jpg,Laura,Dean-Lytle
224,,,none listed,http://pinalcountyaz.gov/Departments/Assessor/Pages/Home.aspx,none listed,Assessor@pinalcountyaz.gov,,"Pinal County
County Assessor
31 N Pinal Street
Building E
Florence, AZ 85132",,"130 W. Congress ~ 11th Floor
Tucson, Az 85701",,(520) 509-3555,Assessor,(888) 431-1311,,Pinal County,none listed,,,R,Pinal County Assessor,,,,none listed,,,Y,LPaul_Larkin.jpg,L. Paul,Larkin
225,,,none listed,http://www.pima.gov/bos/dist5/contact.html,none listed,district5@pima.gov,,none listed,,"130 W. Congress ~ 11th Floor
Tucson, AZ 85701 ",,(520) 740-8126,District 5,(520) 884-1152,,Pima County,none listed,,,D,Pima County Board of Supervisors,,,,none listed,,,Y,richard_elias.jpg,Richard,Elias
226,,,none listed,http://www.pima.gov/bos/rcarroll/index.html,none listed,district4@pima.gov,,none listed,,"130 W. Congress, 11th floor
Tucson, Arizona 85701",,(520) 740-8094,District 4,(520) 740-2721,,Pima County,none listed,,,R,Pima County Board of Supervisors,,,,none listed,,,Y,ray_carroll.jpg,Ray,Carroll
227,,,none listed,http://www.pima.gov/bos/dist3/Sharon.html,none listed,district3@pima.gov,,none listed,,"130 West Congress, 11th Floor
Tucson, Arizona 85701",,(520) 740-8051,District 3,none listed,,Pima County,none listed,,,D,Pima County Board of Supervisors,,,,none listed,,,Y,Sharon_bronson.jpg,Sharon,Bronson
228,,,none listed,http://www.pima.gov/bos/dist2/index.html,none listed,none listed,,none listed,,"130 W. Congress, 11th floor
Tucson, Arizona 85701",,(520) 740-8126,District 2,none listed,,Pima County,none listed,,,D,Pima County Board of Supervisors,,,,none listed,,,Y,ramon_valadez.jpg,Ramon O.,Valadez
229,,,none listed,http://www.pima.gov/bos/dist1/home.htm,none listed,Ann.Day@pima.gov,,none listed,,"Pima County Attorney’s Office
32 North Stone Suite 1400
Tucson, Arizona 85701",,(520) 740-2738,District 1,(520) 740-8489,,Pima County,none listed,,,R,Pima County board of Supervisors,,,,none listed,,,Y,pic_ann_day.jpg,Ann,Day
230,,,none listed,http://www.pcao.pima.gov/about.htm,none listed,pimacounty.attorney@pcao.pima.gov,,none listed,,"1750 E. Benson Highway
Tucson, AZ 85714-1758",,(520) 740-5600,Attorney,none listed,,Pima County,none listed,,,D,Pima County Attorney's Office,,,,none listed,,,Y,barbara-1.jpeg,Barbara,LaWall
231,,,none listed,http://www.pimasheriff.org/Page/422/Show.aspx,none listed,none listed,,none listed,,"115 North Church Ave.
Tucson, AZ. 85701-1199",,(520) 351-4600,Sheriff,none listed,,Pima County,none listed,,,D,Pima County Sheriff's Office,,,,none listed,,,Y,clarence_Dupnik.jpg,Clarence W.,Dupnik
232,,,none listed,http://www.to.pima.gov/,none listed,none listed,,none listed,,"115 N Church Ave
Tucson, Arizona 85701
",,(520) 740-8341,Treasurer,(520) 884-4809,,Pima County,none listed,,,R,Pima County Treasurer's Office,,,,none listed,,,Y,beth_ford.jpg,Beth,Ford
233,,,none listed,http://www.recorder.pima.gov/default.aspx,none listed,none listed,,none listed,,"115 N Church Ave
Tucson, Arizona 85701
",,(520) 740-4350,Recorder,(520) 623-1785,,Pima County,none listed,"6920 E. Broadway Blvd.
Suite D ",,D,Pima County Recorder's Office,,,,none listed,,,N,f. ann rodriguez.jpg,F. Ann,Rodriguez
234,,,none listed,http://www.asr.pima.gov/index.aspx,none listed,none listed,,none listed,,"Arizona State Senate
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,(520) 740-8172,Assessor,none listed,,Pima County,none listed,"Bank of America Building
33 N Stone Suite 110
Tucson, Arizona 85701
",,D,Pima County Assessor's Office,,,,none listed,,,y,,Bill,Staples
